plan_id,name,metal_tier,monthly_premium,deductible,oop_max,coinsurance_rate,pcp_copay,effective_year
PLN20240001,MintCream Bronze 2024,Bronze,336.21,6300,8650,0.4,45,2024
PLN20240002,Yellow Gold 2024,Gold,713.48,1850,5900,0.2,25,2024
PLN20240003,YellowGreen Gold 2024,Gold,765.06,2100,4500,0.2,25,2024
PLN20240004,Wheat Bronze 2024,Bronze,331.14,7000,8050,0.4,45,2024
PLN20240005,Ivory Bronze 2024,Bronze,418.03,6900,9150,0.4,45,2024
PLN20240006,LightGray Silver 2024,Silver,512.46,4000,7250,0.3,35,2024
PLN20240007,Beige Bronze 2024,Bronze,437.01,7900,8700,0.4,45,2024
PLN20240008,Cornsilk Bronze 2024,Bronze,332.28,7950,9200,0.4,45,2024
PLN20240009,LightGray Platinum 2024,Platinum,1040.02,750,2600,0.1,15,2024
PLN20240010,Orange Bronze 2024,Bronze,381.24,6950,8300,0.4,45,2024
PLN20250001,MediumAquaMarine Bronze 2025,Bronze,333.93,7400,9400,0.4,45,2025
PLN20250002,Beige Silver 2025,Silver,547.79,4200,7600,0.3,35,2025
PLN20250003,Peru Silver 2025,Silver,472.28,4400,6050,0.3,35,2025
PLN20250004,Plum Bronze 2025,Bronze,348.85,6600,9000,0.4,45,2025
PLN20250005,DimGray Gold 2025,Gold,801.83,1100,4250,0.2,25,2025
PLN20250006,PaleVioletRed Silver 2025,Silver,582.29,3500,7850,0.3,35,2025
PLN20250007,Linen Silver 2025,Silver,471.06,4000,7550,0.3,35,2025
PLN20250008,Violet Gold 2025,Gold,609.77,2150,5600,0.2,25,2025
PLN20250009,Brown Platinum 2025,Platinum,1139.93,400,2700,0.1,15,2025
PLN20250010,PeachPuff Bronze 2025,Bronze,351.22,7400,8800,0.4,45,2025
